date,price,open,high,low,vol.,change %,vol,perc_chg
10-01-2022,"1,558.10","1,548.47","1,560.09","1,538.59",,0.85%,,
11-01-2022,"1,566.94","1,557.94","1,568.77","1,552.07",,0.57%,,
12-01-2022,"1,608.32","1,570.29","1,608.51","1,570.29",,2.64%,,
13-01-2022,"1,610.14","1,612.26","1,616.58","1,602.72",,0.11%,,
14-01-2022,"1,599.78","1,605.74","1,607.14","1,585.61",,-0.64%,,
17-01-2022,"1,598.35","1,599.64","1,604.11","1,592.49",,-0.09%,,
18-01-2022,"1,576.65","1,599.97","1,606.66","1,575.56",,-1.36%,,
19-01-2022,"1,566.95","1,575.52","1,579.36","1,560.22",,-0.62%,,
20-01-2022,"1,600.66","1,567.31","1,601.04","1,563.30",,2.15%,,
21-01-2022,"1,591.32","1,601.61","1,601.61","1,577.25",,-0.58%,,
24-01-2022,"1,568.33","1,587.25","1,587.25","1,566.04",,-1.44%,,
25-01-2022,"1,541.20","1,565.12","1,565.12","1,531.49",,-1.73%,,
26-01-2022,"1,537.19","1,541.15","1,548.34","1,529.83",,-0.26%,,
27-01-2022,"1,498.00","1,534.79","1,535.61","1,489.51",,-2.55%,,
28-01-2022,"1,490.39","1,495.93","1,498.11","1,487.68",,-0.51%,,
31-01-2022,"1,510.54","1,492.90","1,513.97","1,492.88",,1.35%,,
01-02-2022,"1,520.57","1,519.96","1,521.63","1,517.77",,0.66%,,
02-02-2022,"1,523.58","1,522.94","1,523.70","1,521.96",,0.20%,,
03-02-2022,"1,520.44","1,523.58","1,527.39","1,520.18",,-0.21%,,
04-02-2022,"1,544.85","1,521.57","1,545.62","1,521.57",,1.61%,,
07-02-2022,"1,537.57","1,546.58","1,547.15","1,527.85",,-0.47%,,
08-02-2022,"1,523.08","1,539.31","1,544.06","1,515.74",,-0.94%,,
09-02-2022,"1,556.84","1,527.00","1,556.92","1,527.00",,2.22%,,
10-02-2022,"1,575.44","1,561.61","1,576.13","1,560.22",,1.19%,,
11-02-2022,"1,566.69","1,570.97","1,572.35","1,558.83",,-0.56%,,
14-02-2022,"1,536.55","1,562.66","1,562.66","1,532.12",,-1.92%,,
15-02-2022,"1,530.29","1,534.05","1,536.68","1,521.31",,-0.41%,,
