date,price,open,high,low,change %,vol,perc_chg
2016-09-15,888.98,884.17,889.26,882.71,0.43%,,
2016-09-16,885.45,889.24,890.88,884.38,-0.40%,,
2016-09-19,897.68,885.69,899.72,885.69,1.38%,,
2016-09-20,898.82,897.41,899.75,896.5,0.13%,,
2016-09-21,905.65,898.91,911.47,897.85,0.76%,,
2016-09-22,920.92,911.1,923.43,911.1,1.69%,,
2016-09-23,917.5,920.65,920.96,915.72,-0.37%,,
2016-09-26,905.49,916.16,916.54,904.37,-1.31%,,
2016-09-27,911.13,904.84,913.21,902.71,0.62%,,
2016-09-28,912.19,912.29,914.96,909.9,0.12%,,
2016-09-29,913.39,914.9,920.04,910.27,0.13%,,
2016-09-30,903.46,911.23,911.23,901.55,-1.09%,,
2016-10-03,911.61,904.01,912.38,904.01,0.90%,,
2016-10-04,915.61,912.47,916.26,911.27,0.44%,,
2016-10-05,915.26,911.65,916.07,910.55,-0.04%,,
2016-10-06,917.04,915.83,919.87,914.64,0.19%,,
2016-10-07,914.81,916.99,917.87,912.46,-0.24%,,
2016-10-10,918.68,914.73,919.45,914.28,0.42%,,
2016-10-11,905.57,917.61,919.53,903.64,-1.43%,,
2016-10-12,902.74,904.45,905.27,900.82,-0.31%,,
2016-10-13,890.65,902.21,902.35,888.2,-1.34%,,
2016-10-14,897.03,893.07,899.69,892.41,0.72%,,
2016-10-17,894.71,895.33,895.72,891.17,-0.26%,,
2016-10-18,908.55,894.83,910.54,894.71,1.55%,,
2016-10-19,913.35,909.95,914.59,909.64,0.53%,,
2016-10-20,913.38,914.38,916.7,911.88,0.00%,,
2016-10-21,911.24,913.39,913.44,908.33,-0.23%,,
2016-10-24,918.4,911.38,919.79,910.14,0.79%,,
2016-10-25,918.25,917.53,920.24,916.15,-0.02%,,
2016-10-26,910.58,919.01,919.2,908.34,-0.84%,,
2016-10-27,905.31,909.39,909.62,903.64,-0.58%,,
2016-10-28,903.5,904.7,905.39,900.35,-0.20%,,
2016-10-31,905.09,901.58,905.09,899.89,0.18%,,
2016-11-01,902.58,904.25,908.71,899.33,-0.28%,,
2016-11-02,890.21,900.82,900.82,890.21,-1.37%,,
2016-11-03,884.93,890.92,892.2,884.38,-0.59%,,
2016-11-04,880.12,884.15,884.78,879.46,-0.54%,,
2016-11-07,894.77,881.98,895.99,881.98,1.66%,,
2016-11-08,902.45,895.78,905.9,895.49,0.86%,,
2016-11-09,880.15,905.2,907.47,873.09,-2.47%,,
