date,price,open,high,low,vol.,change %,vol,perc_chg
13-11-2019,478.77,484.49,484.49,477.93,,-1.34%,,
14-11-2019,476.93,478.4,479.07,475.86,,-0.38%,,
15-11-2019,479.44,477.37,480.13,477.12,,0.53%,,
18-11-2019,482.45,479.72,482.85,479.3,,0.63%,,
19-11-2019,485.54,482.21,485.94,480.56,,0.64%,,
20-11-2019,482.09,485.18,485.21,481.56,,-0.71%,,
21-11-2019,477.15,482.09,482.09,475.3,,-1.02%,,
22-11-2019,478.76,477.41,479.11,476.94,,0.34%,,
25-11-2019,483.36,478.47,483.57,478.47,,0.96%,,
26-11-2019,482.94,483.75,486.41,481.9,,-0.09%,,
27-11-2019,485.67,483.32,485.81,482.88,,0.57%,,
28-11-2019,484.4,485.83,485.83,484.22,,-0.26%,,
29-11-2019,477.63,484.7,484.82,477.28,,-1.40%,,
02-12-2019,478.1,477.68,480.04,477.35,,0.10%,,
03-12-2019,476.87,477.99,477.99,474.93,,-0.26%,,
04-12-2019,473.97,476.74,476.74,472.71,,-0.61%,,
05-12-2019,477.72,474.25,478.04,474.25,,0.79%,,
06-12-2019,480.61,477.99,480.93,477.99,,0.60%,,
09-12-2019,480.83,481.05,482.33,480.75,,0.05%,,
10-12-2019,480.24,481.0,481.0,479.66,,-0.12%,,
11-12-2019,483.74,480.39,484.38,479.93,,0.73%,,
12-12-2019,489.75,484.59,491.6,484.59,,1.24%,,
13-12-2019,498.6,491.4,499.76,491.4,,1.81%,,
16-12-2019,497.88,498.47,499.37,497.32,,-0.14%,,
17-12-2019,504.71,498.44,504.81,498.44,,1.37%,,
18-12-2019,506.18,504.83,506.27,504.14,,0.29%,,
19-12-2019,504.65,506.3,506.61,503.4,,-0.30%,,
20-12-2019,505.51,504.8,506.09,503.53,,0.17%,,
23-12-2019,506.73,505.84,506.81,505.11,,0.24%,,
24-12-2019,505.38,506.78,506.89,505.3,,-0.27%,,
25-12-2019,505.6,505.51,506.04,505.45,,0.04%,,
26-12-2019,506.54,505.98,506.69,505.59,,0.19%,,
27-12-2019,511.08,506.61,511.54,506.61,,0.90%,,
30-12-2019,511.35,510.99,512.89,510.48,,0.05%,,
31-12-2019,509.42,511.04,511.2,509.42,,-0.38%,,
01-01-2020,509.49,509.86,509.96,509.49,,0.01%,,
02-01-2020,515.55,509.78,515.74,509.52,,1.19%,,
